8.28	25.65	11.5	27.05	5.72	5.6	27.33	5.32	17.77	3.01	55.18	598.98	35.8	49.94	23.9	15.94	22.48	14.14	9.56	11.13	34.4	66.46	103.78	21.05	19.56	59.8	29.68	24.57	29.32	72.86	11.6	12.67	36.44	15.84	52.97	14.74	5.61	3.59	170.1	29.01	20.93	36.03	7.9	11.71	17.37	28.44	2.48	8.05	39.6	50.38	29.89	13.53	14.28	19.52	7.4	16.8	59.8
7.94	25.32	11.27	26.41	5.65	5.5	26.35	5.37	17.69	3.05	55.68	590	35.92	48.96	24.07	15.36	22.3	13.45	9.02	10.96	34.11	67.19	101.32	20.74	18.78	59.2	29.09	24.88	29.39	73.09	11.52	12.7	36.2	15.53	51.07	14.85	5.63	3.95	167.92	28.6	19.21	36.01	7.9	11.9	17.48	27.55	2.45	7.93	38.13	49.7	30.11	13.45	14.07	19	7.22	16.97	56.98
8.08	25.91	11.47	26.5	5.79	5.63	26.61	5.46	18.07	3.08	56.59	602	36.65	49.54	24.93	15.9	22.52	13.21	9.54	11.17	34.75	69.51	101.58	22.23	19.2	60.73	29.84	25.51	30.22	75.26	11.65	13.07	36.99	16.16	54.35	15.2	5.6	4.35	172.5	29.8	20.58	36.52	7.92	12.23	17.94	28.45	2.53	8.07	38.97	49.82	31.27	13.59	14.01	18.94	7.55	17	57.1
8.5	27.16	11.69	27.17	6.06	5.71	26.7	5.49	18.05	3.08	56.3	605.49	36.48	49.31	25.05	15.9	22.77	13.71	9.75	11.41	34.4	72.42	101.73	22.34	20.02	62.9	29.81	25.52	30.56	76.16	11.74	13.23	36.99	16.47	53.57	15.17	5.59	4.79	175.48	31.52	21	38.36	7.95	12.16	18.43	28.75	2.57	8.14	38.72	49.78	31.18	13.42	13.95	18.95	8	17.6	58.1
8.48	27.2	11.77	28.13	6.15	5.64	25.6	5.47	18.42	3.04	55.8	604.79	36.34	49.02	25	16.41	22.6	13.91	9.6	11.37	34.1	71.27	99.5	22.06	19.9	61.2	29.99	25.22	30.13	74.5	11.73	13.08	36.86	16.25	53.98	15.23	5.58	5.18	175.5	31.07	20.54	38	8.07	11.99	18.5	28.79	2.83	8.1	38.77	49.84	31.41	13.26	13.94	19.05	8.14	17.64	59.6
8.31	28.13	11.99	27.7	6.11	5.75	26.3	5.48	18.47	3.06	56.95	616.12	37.51	50.03	25.33	16.48	22.8	13.99	10.02	11.75	34.17	71.75	102.98	22.05	19.92	62.12	29.87	25.7	29.32	71.36	12.12	13.07	39	16.34	55.53	15.36	5.85	4.85	178.83	30.6	21.2	37.79	8.06	12.14	19.03	30.76	2.82	8.11	39.49	50.69	31.31	14	14.06	19.25	8.13	17.56	60.9
8.92	28.33	12.21	27.77	6.4	5.93	26.01	5.47	18.46	3.07	57.5	618.77	37.76	49.86	25.11	16.48	23.1	14.91	10.14	11.65	32.75	71.6	103.32	21.32	20.07	61.12	29.46	25.85	29.31	70.95	12.03	13.19	39.29	15.97	56.27	15.33	5.72	4.85	177.1	30.03	20.59	38.15	8.02	12	20.93	30.55	2.7	8.04	38.81	49.8	30.62	13.96	13.93	19.6	8.06	17.88	60.1
8.75	28.45	12.23	28.19	6.4	6	26.11	5.51	18.51	3.05	58.07	635.88	37.73	50.69	25.3	16.61	23.51	14.75	10.26	11.63	32.36	72.3	104.91	21.64	20.51	61.23	29.09	26.46	29.53	71.02	12.17	13.24	39.84	16.11	55.95	15.4	5.74	4.76	178.03	30.22	20.47	37.95	8.14	11.99	20.04	30.91	2.74	8.19	39.3	49.1	30.91	14.07	13.93	19.6	8.13	17.84	60.68
8.75	28.02	12.24	27.76	6.33	5.9	24.92	5.47	18.62	3.05	57.12	624.6	37.68	49.59	25.02	16	23.19	14.82	10.23	11.34	29.13	69.38	104.1	21.32	20.09	58.48	29	26.31	29.62	71.07	12.1	12.87	39.45	15.8	54.33	15.23	5.75	4.85	169.91	30.3	19.88	36.85	8.21	11.77	20.34	31.13	2.84	8.38	38.47	47.88	30.56	13.95	13.78	18.99	8.2	17.47	58.6
9.1	29.43	12.77	28.36	6.34	5.94	24.93	5.53	18.67	3.05	58.59	659.98	38.78	52.97	25.16	16.5	24.1	15.04	10.14	11.6	29.32	68.7	104.98	21.7	20.6	60.1	30.24	26.8	29.97	71.69	12.28	13.13	41	16.33	56.44	15.43	5.82	4.75	183	30.04	19.76	36.77	8.26	11.68	21.52	32.02	2.97	8.43	41.83	48.37	31.43	14.66	14.07	19.19	8.27	17.52	60.78
9.17	29.18	12.57	28.06	6.31	5.88	25.6	5.54	18.6	2.99	58.74	661.1	39.31	52.2	25.42	16.23	24	14.92	10.48	10.44	30.36	71.98	105.69	23.03	20.31	60.8	30.49	26.85	29.55	70.81	12.12	13.13	41.2	16.6	57.47	15.47	5.8	4.77	184.94	29.85	19.81	36.85	8.29	11.86	21.26	32.32	2.87	8.47	41.11	47.48	32.46	14.63	14.41	19	8.51	17.89	61.13
9.26	29.07	12.07	27.58	6.48	6.01	25.95	5.54	18.45	3	58.73	659.25	38.66	51.92	24.97	15.97	24.07	14.92	10.45	10.06	29.45	70.1	105.75	22.75	20.01	60.24	30.5	26.47	28.87	68.02	11.95	12.78	40.91	16.36	57.36	15.35	5.69	4.72	185.8	29.81	19.28	35.89	8.13	11.77	20.85	31.77	2.83	8.53	41.08	47.65	32.27	14.62	14.3	18.9	8.8	18.04	60.8
9.74	29.46	12.32	27.53	6.45	6.07	25.7	5.64	19.01	3.03	59.92	683.61	38.97	53.88	25.76	15.85	24.45	15.09	10.64	9.54	30.83	72.1	109.5	22.41	19.98	61.32	31.1	27.1	29.78	69.53	12.05	13	42.08	16.43	59.17	15.68	5.69	4.61	193.35	32.79	19.3	34.85	8.15	12.07	22.27	32.05	2.78	8.64	42.2	49.99	32.81	15.14	15.01	18.9	8.81	18	59.43
9.58	29.3	12.53	28.92	6.44	6.07	25.49	5.6	19.55	3.01	60.79	686.98	39.48	56	25.65	15.64	24.78	15.06	10.69	10.08	30.95	71.55	111.11	22.57	21.04	67.45	32.2	27.33	30.19	70.03	12.07	13	42.09	16.72	59.07	15.68	5.74	4.54	191.5	31.43	19.79	34.63	8.24	12.04	22.12	33.19	2.79	8.61	42.63	50.55	33.7	15.18	15.49	19.62	9.13	18.1	59.87
9.31	28.6	12.26	27.7	6.3	5.96	25.5	5.55	19.26	2.98	60.07	671	38.91	55.21	25.4	15.61	24.43	15.08	10.42	10.44	29.91	70.82	108.49	22.12	20.44	66	31.11	26.98	29.38	68.12	11.88	12.79	41.3	16.41	57.69	15.55	5.81	4.58	187.51	31.62	19.16	34.88	8.18	12.05	21.95	32.48	2.74	8.54	42.05	48.5	33.35	14.97	15.31	19.6	8.61	17.94	58.9
9.41	28.36	12.66	27.22	6.43	5.95	24.7	5.56	19.44	2.98	59.49	665.66	39.19	55.07	25.31	15.57	24.3	15.08	10.58	10.28	29.63	70.5	110.27	21.74	20.45	65	31	27.16	29.8	68.9	11.84	12.79	41.46	16.26	58.02	15.5	5.86	4.45	188.5	32.31	18.43	34.56	8.21	11.91	22.1	32.55	2.76	8.71	42.26	47.85	33.35	14.88	15.57	19.3	9.14	18.26	59.11
10.1	28.86	12.41	28.03	6.59	5.97	25.51	5.56	19.39	2.97	60.43	672.5	39.38	55.2	25.41	15.6	24.34	15.1	10.53	10.26	30.11	75.17	108	22.21	20.37	68.2	30.99	27.87	29.49	68.42	11.85	12.82	41.59	16.72	59.38	15.66		4.37	189.2	32.58	20.27	34.6	8.16	11.94	22.2	31.5	2.74	8.86	42.41	47.33	33.37	15.31	15.6	19.6	8.87	18.58	56
